dwaCode	title	action	object	iwaCode	workActivityCode
4.A.3.a.1.I03.D07	Clean patient rooms or patient treatment rooms.	Clean	Patient Rooms Patient Treatment	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D08	Sterilize food cooking or processing equipment.	Sterilize	Food Cooking Processing Equipment	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D09	Clean facilities or work areas.	Clean	Facilities Work Areas	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D10	Maintain clean work areas.	Maintain	Clean Work Areas	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D11	Clean building walls or flooring.	Clean	Building Walls Flooring	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D12	Clean facilities or sites.	Clean	Facilities Sites	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D13	Clean work sites.	Clean	Work Sites	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D14	Clean machinery or equipment.	Clean	Machinery Equipment	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D15	Clean tools or equipment.	Clean	Tools Equipment	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D16	Clean equipment, parts, or tools to repair or maintain them in good working order.	Clean	Equipment Parts Tools Repair	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D17	Decontaminate equipment or sites to remove hazardous or toxic substances.	Decontaminate	Equipment Sites Remove Hazardous	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D18	Perform housekeeping duties.	Perform	Housekeeping Duties	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D19	Clean equipment or facilities.	Clean	Equipment Facilities	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D20	Clean surfaces in preparation for work activities.	Clean	Surfaces Preparation Work Activities	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D21	Clean production equipment.	Clean	Production Equipment	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D23	Clean food service areas.	Clean	Food Service Areas	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D24	Remove snow.	Remove	Snow	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I03.D25	Clean vehicles or vehicle components.	Clean	Vehicles Vehicle Components	4.A.3.a.1.I03	4.A.3.a.1
4.A.3.a.1.I04.D01	Protect structures or surfaces near work areas to avoid damage.	Protect	Structures Surfaces Near Work	4.A.3.a.1.I04	4.A.3.a.1
4.A.3.a.1.I04.D02	Apply protective coverings to objects or surfaces near work areas.	Apply	Protective Coverings Objects Surfaces	4.A.3.a.1.I04	4.A.3.a.1
4.A.3.a.1.I05.D01	Dispose of biomedical waste in accordance with standards.	Dispose	Biomedical Waste Accordance Standards	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D02	Dispose of hazardous materials.	Dispose	Hazardous Materials	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D03	Remove debris from work sites.	Remove	Debris Work Sites	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D04	Remove trash.	Remove	Trash	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D05	Remove worn, damaged or outdated materials from work areas.	Remove	Worn Damaged Outdated Materials	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D06	Remove debris or vegetation from work sites.	Remove	Debris Vegetation Work Sites	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D07	Dispose of trash or waste materials.	Dispose	Trash Waste Materials	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D08	Remove excess materials from finished construction projects.	Remove	Excess Materials Finished Construction	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I05.D09	Remove debris or damaged materials.	Remove	Debris Damaged Materials	4.A.3.a.1.I05	4.A.3.a.1
4.A.3.a.1.I06.D01	Load shipments, belongings, or materials.	Load	Shipments Belongings Materials	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D02	Load materials into equipment for processing.	Load	Materials Into Equipment Processing	4.A.3.a.1.I06	4.A.3.a.1
